,name,rtg,team,dep,week,att,yds,td,tgts,rec,rec yds,rec td,opponent
274,KeÕShawn Vaughn,70,TB,2.0,4,3.0,4.0,0,3.0,2.0,22.0,1,LAC
275,Josh Jacobs,91,LV,1.0,4,15.0,48.0,0,4.0,3.0,25.0,0,BUF
276,Tony Pollard,79,DAL,2.0,4,3.0,16.0,1,2.0,1.0,16.0,0,CLE
277,Damien Harris,70,NE,1.0,4,17.0,100.0,0,0.0,0.0,0.0,0,KC
278,Adrian Peterson,76,DET,1.0,4,11.0,36.0,1,2.0,0.0,0.0,0,NO
279,JD McKissic,77,WAS,2.0,4,2.0,6.0,0,8.0,7.0,40.0,0,BAL
280,Miles Sanders,84,PHI,1.0,4,13.0,46.0,0,4.0,2.0,30.0,0,SF
281,D'Ernest Johnson,67,CLE,3.0,4,13.0,95.0,0,0.0,0.0,0.0,0,DAL
282,Myles Gaskin,76,MIA,1.0,4,10.0,40.0,0,4.0,3.0,22.0,0,SEA
283,Jonathan Taylor,81,IND,1.0,4,17.0,68.0,0,1.0,1.0,11.0,0,CHI
284,Matt Breida,77,MIA,2.0,4,3.0,9.0,0,3.0,3.0,39.0,0,SEA
285,Travis Homer,67,SEA,3.0,4,4.0,5.0,0,1.0,1.0,3.0,1,MIA
286,Alexander Mattison,73,MIN,2.0,4,7.0,17.0,1,0.0,0.0,0.0,0,HOU
287,Duke Johnson,74,HOU,2.0,4,5.0,24.0,0,4.0,3.0,21.0,0,MIN
288,Nyheim Hines,82,IND,2.0,4,9.0,24.0,0,3.0,3.0,8.0,0,CHI
289,Rex Burkhead,78,NE,4.0,4,11.0,45.0,0,1.0,1.0,5.0,0,KC
290,Ito Smith,80,ATL,3.0,4,2.0,3.0,0,3.0,3.0,24.0,0,GB
291,Darrell Henderson,73,LAR,1.0,4,8.0,21.0,0,1.0,1.0,16.0,0,NYG
292,Frank Gore,79,NYJ,1.0,4,13.0,30.0,0,2.0,1.0,6.0,0,DEN
293,Wayne Gallman,72,NYG,1.0,4,6.0,45.0,0,0.0,0.0,0.0,0,LAR
294,Brian Hill,67,ATL,2.0,4,4.0,10.0,0,2.0,2.0,13.0,0,GB
295,DeeJay Dallas,67,SEA,4.0,4,2.0,8.0,0,2.0,2.0,15.0,0,MIA
296,Joshua Kelley,67,LAC,3.0,4,9.0,7.0,0,3.0,3.0,26.0,0,TB
297,Nick Chubb,95,CLE,1.0,4,6.0,43.0,0,0.0,0.0,0.0,0,DAL
298,Jordan Wilkins,73,IND,3.0,4,9.0,15.0,0,1.0,1.0,16.0,0,CHI
299,Justin Jackson,73,LAC,2.0,4,6.0,9.0,0,2.0,2.0,12.0,0,TB
300,Dion Lewis,76,NYG,2.0,4,1.0,10.0,0,3.0,2.0,8.0,0,LAR
301,Gus Edwards,81,BAL,2.0,4,9.0,38.0,0,0.0,0.0,0.0,0,WAS
302,Jalen Richard,77,LV,3.0,4,1.0,6.0,0,4.0,2.0,10.0,0,BUF
303,Kenyan Drake,81,ARI,1.0,4,13.0,35.0,0,0.0,0.0,0.0,0,CAR
304,Royce Freeman,75,DEN,2.0,4,3.0,6.0,0,2.0,2.0,6.0,0,NYJ
305,Kalen Ballage,67,NYJ,4.0,4,0.0,0.0,0,3.0,2.0,11.0,0,DEN
306,Dontrell Hilliard,68,CLE,5.0,4,5.0,19.0,0,1.0,1.0,2.0,0,DAL
307,Jeffery Wilson,67,SF,4.0,4,3.0,6.0,0,1.0,1.0,13.0,0,PHI
308,J.K. Dobbins,77,BAL,1.0,4,5.0,16.0,0,2.0,1.0,1.0,0,WAS
309,Austin Ekeler,86,LAC,1.0,4,2.0,12.0,0,1.0,1.0,2.0,0,TB
310,Kerryon Johnson,76,DET,2.0,4,3.0,9.0,0,1.0,1.0,3.0,0,NO
311,Giovani Bernard,81,CIN,1.0,4,2.0,19.0,0,0.0,0.0,0.0,0,JAX
312,Tyler Ervin,70,GB,3.0,4,0.0,0.0,0,2.0,1.0,8.0,0,ATL
313,LeSean McCoy,83,TB,2.0,4,1.0,3.0,0,1.0,1.0,3.0,0,LAC
314,Lamical Perine,67,NYJ,3.0,4,5.0,15.0,0,0.0,0.0,0.0,0,DEN
315,Theo Riddick,76,LV,3.0,4,2.0,13.0,0,0.0,0.0,0.0,0,BUF
316,Jordan Howard,78,MIA,1.0,4,2.0,2.0,0,1.0,1.0,-3.0,0,SEA
317,Peyton Barber,73,WAS,1.0,4,3.0,5.0,0,1.0,0.0,0.0,0,BAL
318,Corey Clement,76,PHI,3.0,4,2.0,3.0,0,0.0,0.0,0.0,0,SF
319,A.J. Dillon,70,GB,3.0,4,1.0,3.0,0,0.0,0.0,0.0,0,ATL
320,Darrel Williams,67,KC,3.0,4,1.0,2.0,0,1.0,0.0,0.0,0,NE
321,Boston Scott,70,PHI,2.0,4,2.0,1.0,0,0.0,0.0,0.0,0,SF
322,Mike Davis,78,CAR,1.0,5,16.0,89.0,0,10.0,9.0,60.0,1,ATL
323,Todd Gurley,78,ATL,1.0,5,14.0,121.0,1,5.0,4.0,29.0,0,CAR
324,Miles Sanders,84,PHI,1.0,5,11.0,80.0,2,4.0,2.0,19.0,0,PIT
325,Ezekiel Elliott,88,DAL,1.0,5,19.0,91.0,2,2.0,1.0,14.0,0,NYG
326,Josh Jacobs,91,LV,1.0,5,23.0,77.0,2,3.0,2.0,8.0,0,KC
327,Darrell Henderson,73,LAR,1.0,5,15.0,38.0,1,4.0,3.0,30.0,1,WAS
328,Chase Edmonds,79,ARI,2.0,5,3.0,36.0,1,6.0,5.0,56.0,0,NYJ
329,Myles Gaskin,76,MIA,1.0,5,16.0,57.0,1,5.0,5.0,34.0,0,SF
330,Alvin Kamara,92,NO,1.0,5,11.0,45.0,0,10.0,8.0,74.0,0,LAC
331,Dalvin Cook,97,MIN,1.0,5,17.0,65.0,1,5.0,5.0,24.0,0,SEA
332,Chris Carson,89,SEA,1.0,5,8.0,52.0,1,7.0,6.0,27.0,0,MIN
333,David Montgomery,79,CHI,1.0,5,10.0,29.0,1,8.0,7.0,30.0,0,TB
334,Kareem Hunt,84,CLE,2.0,5,20.0,72.0,0,4.0,3.0,21.0,1,IND
335,Devonta Freeman,76,NYG,1.0,5,17.0,60.0,1,3.0,2.0,27.0,0,DAL
336,Alexander Mattison,73,MIN,2.0,5,20.0,112.0,0,3.0,3.0,24.0,0,SEA
337,Ronald Jones II,83,TB,1.0,5,17.0,106.0,0,5.0,3.0,19.0,0,CHI
338,Joe Mixon,87,CIN,1.0,5,24.0,59.0,0,8.0,6.0,35.0,0,BAL
339,Jonathan Taylor,81,IND,1.0,5,12.0,57.0,1,3.0,2.0,17.0,0,CLE
340,James Conner,80,PIT,1.0,5,15.0,44.0,1,3.0,3.0,19.0,0,PHI
341,Raheem Mostert,84,SF,1.0,5,11.0,90.0,0,3.0,3.0,29.0,0,MIA
342,Justin Jackson,73,LAC,2.0,5,15.0,71.0,0,6.0,5.0,23.0,0,NO
343,Kenyan Drake,81,ARI,1.0,5,18.0,60.0,1,1.0,1.0,2.0,0,NYJ
344,David Johnson,75,HOU,1.0,5,17.0,96.0,0,4.0,2.0,7.0,0,JAX
345,Clyde Edwards-Helaire,83,KC,1.0,5,10.0,40.0,0,8.0,3.0,40.0,0,LV
346,JD McKissic,77,WAS,2.0,5,1.0,3.0,0,8.0,6.0,46.0,0,LAR
347,Antonio Gibson,76,WAS,3.0,5,11.0,27.0,0,5.0,5.0,24.0,0,LAR
348,James Robinson,81,JAX,1.0,5,13.0,48.0,0,7.0,5.0,22.0,0,HOU
349,J.K. Dobbins,77,BAL,1.0,5,1.0,34.0,0,3.0,3.0,21.0,0,CIN
350,Latavius Murray,82,NO,2.0,5,8.0,34.0,0,2.0,2.0,23.0,0,LAC
351,Devontae Booker,71,LV,2.0,5,7.0,62.0,0,1.0,1.0,5.0,0,KC
352,Brian Hill,67,ATL,2.0,5,6.0,39.0,0,2.0,2.0,15.0,0,CAR
353,Chris Thompson,75,JAX,2.0,5,2.0,7.0,0,3.0,3.0,35.0,0,HOU
354,Jalen Richard,77,LV,3.0,5,1.0,4.0,0,5.0,4.0,26.0,0,KC
355,Matt Breida,77,MIA,2.0,5,9.0,28.0,0,1.0,1.0,31.0,0,SF
356,Cam Akers,77,LAR,1.0,5,9.0,61.0,0,0.0,0.0,0.0,0,WAS
357,Mark Ingram,79,BAL,1.0,5,11.0,57.0,0,0.0,0.0,0.0,0,CIN
358,Tony Pollard,79,DAL,2.0,5,6.0,30.0,0,3.0,2.0,2.0,0,NYG
359,Le'Veon Bell,79,KC,2.0,5,6.9,43.7,0,0.5,0.5,3.7,0,LV
360,Nyheim Hines,82,IND,2.0,5,3.0,8.0,0,4.0,2.0,22.0,0,CLE
361,Joshua Kelley,67,LAC,3.0,5,11.0,29.0,0,1.0,1.0,9.0,0,NO
362,D'Ernest Johnson,67,CLE,3.0,5,8.0,32.0,0,1.0,1.0,4.0,0,IND
363,Wayne Gallman,72,NYG,1.0,5,5.0,24.0,0,2.0,2.0,0.0,0,DAL
364,Malcolm Brown,70,LAR,2.0,5,8.0,30.0,0,2.0,1.0,-6.0,0,WAS
365,Frank Gore,79,NYJ,1.0,5,9.0,30.0,0,0.0,0.0,0.0,0,ARI
366,Duke Johnson,74,HOU,2.0,5,3.0,8.0,0,1.0,1.0,11.0,0,JAX
367,Darrel Williams,67,KC,3.0,5,0.5,2.1,0,2.6,0.5,10.9,0,LV
368,Jeffery Wilson,67,SF,4.0,5,4.0,27.0,0,1.0,0.0,0.0,0,MIA
369,Jerick McKinnon,75,SF,3.0,5,1.0,0.0,0,4.0,2.0,5.0,0,MIA
370,Gus Edwards,81,BAL,2.0,5,7.0,25.0,0,3.0,0.0,0.0,0,CIN
371,Dion Lewis,76,NYG,2.0,5,0.0,0.0,0,4.0,2.0,1.0,0,DAL
372,Mike Boone,67,MIN,4.0,5,2.0,19.0,0,0.0,0.0,0.0,0,SEA
373,Benny Snell Jr.,75,PIT,2.0,5,7.0,19.0,0,0.0,0.0,0.0,0,PHI
374,Giovani Bernard,81,CIN,1.0,5,0.0,0.0,0,2.0,1.0,4.0,0,BAL
375,Travis Homer,67,SEA,3.0,5,3.0,14.0,0,0.0,0.0,0.0,0,MIN
376,Anthony McFarland Jr.,67,PIT,3.0,5,3.0,6.0,0,0.0,0.0,0.0,0,PHI
377,Ito Smith,80,ATL,3.0,5,2.0,6.0,0,0.0,0.0,0.0,0,CAR
378,KeÕShawn Vaughn,70,TB,2.0,5,0.0,0.0,0,3.0,2.0,5.0,0,CHI
379,Boston Scott,70,PHI,2.0,5,1.0,3.0,0,0.0,0.0,0.0,0,PIT
380,Elijhaa Penny,70,NYG,1.0,5,1.0,3.0,0,0.0,0.0,0.0,0,DAL
381,Jordan Wilkins,73,IND,3.0,5,1.0,1.0,0,0.0,0.0,0.0,0,CLE
382,Derrick Henry,93,TEN,1.0,6,22.0,212.0,2,5.0,2.0,52.0,0,HOU
383,Kenyan Drake,81,ARI,1.0,6,20.0,164.0,2,2.0,0.0,0.0,0,DAL
384,D'Andre Swift,76,DET,3.0,6,14.0,116.0,2,4.0,3.0,7.0,0,JAX
385,Ronald Jones II,83,TB,1.0,6,23.0,113.0,2,2.0,2.0,8.0,0,GB
386,Clyde Edwards-Helaire,83,KC,1.0,6,26.0,161.0,0,4.0,4.0,8.0,0,BUF
387,James Conner,80,PIT,1.0,6,20.0,101.0,1,1.0,1.0,1.0,0,CLE
388,Myles Gaskin,76,MIA,1.0,6,18.0,91.0,0,4.0,4.0,35.0,0,NYJ
389,Jonathan Taylor,81,IND,1.0,6,12.0,60.0,0,4.0,4.0,55.0,0,CIN
390,James White,81,NE,1.0,6,4.0,8.0,0,9.0,8.0,65.0,0,DEN
391,James Robinson,81,JAX,1.0,6,12.0,29.0,0,4.0,4.0,24.0,1,DET
392,Joe Mixon,87,CIN,1.0,6,18.0,54.0,1,3.0,2.0,15.0,0,IND
393,JD McKissic,77,WAS,2.0,6,8.0,41.0,0,6.0,6.0,43.0,0,NYG
394,David Johnson,75,HOU,1.0,6,19.0,57.0,1,2.0,1.0,12.0,0,TEN
395,David Montgomery,79,CHI,1.0,6,19.0,58.0,0,5.0,4.0,39.0,0,CAR
396,Aaron Jones,88,GB,1.0,6,10.0,15.0,1,5.0,3.0,26.0,0,TB
397,Adrian Peterson,76,DET,1.0,6,15.0,40.0,1,1.0,1.0,18.0,0,JAX
398,Miles Sanders,84,PHI,1.0,6,9.0,118.0,0,2.0,1.0,-6.0,0,BAL
399,Ezekiel Elliott,88,DAL,1.0,6,12.0,49.0,0,11.0,8.0,31.0,0,ARI
400,Giovani Bernard,81,CIN,1.0,6,8.0,15.0,1,3.0,3.0,13.0,0,IND
401,Mike Davis,78,CAR,1.0,6,18.0,52.0,1,3.0,2.0,3.0,0,CHI
402,Darrel Williams,67,KC,3.0,6,6.0,26.0,1,1.0,1.0,15.0,0,BUF
403,Frank Gore,79,NYJ,1.0,6,11.0,46.0,0,4.0,4.0,24.0,0,MIA
404,Phillip Lindsay,82,DEN,1.0,6,23.0,101.0,0,0.0,0.0,0.0,0,NE
405,Todd Gurley,78,ATL,1.0,6,20.0,47.0,0,4.0,3.0,20.0,0,MIN
406,Raheem Mostert,84,SF,1.0,6,17.0,65.0,0,2.0,2.0,11.0,0,LAR
407,Antonio Gibson,76,WAS,3.0,6,9.0,30.0,0,5.0,4.0,25.0,0,NYG
408,Darrell Henderson,73,LAR,1.0,6,14.0,88.0,0,0.0,0.0,4.0,0,SF
409,Benny Snell Jr.,75,PIT,2.0,6,6.0,17.0,1,1.0,1.0,4.0,0,CLE
410,Gus Edwards,81,BAL,2.0,6,14.0,26.0,1,0.0,0.0,0.0,0,PHI
411,Jeremy McNichols,69,TEN,2.0,6,5.0,51.0,0,3.0,2.0,11.0,0,HOU
412,Nyheim Hines,82,IND,2.0,6,0.0,0.0,0,6.0,5.0,27.0,0,CIN
413,Kareem Hunt,84,CLE,2.0,6,13.0,40.0,0,3.0,2.0,17.0,0,PIT
414,Devonta Freeman,76,NYG,1.0,6,18.0,61.0,0,2.0,1.0,-4.0,0,WAS
415,Tony Pollard,79,DAL,2.0,6,10.0,31.0,0,4.0,2.0,9.0,0,ARI
416,Lamical Perine,67,NYJ,3.0,6,7.0,27.0,0,3.0,2.0,9.0,0,MIA
417,Devin Singletary,79,BUF,1.0,6,10.0,32.0,0,2.0,1.0,13.0,0,KC
418,Malcolm Brown,70,LAR,2.0,6,2.0,4.0,0,4.0,3.0,18.0,0,SF
419,J.K. Dobbins,77,BAL,1.0,6,9.0,28.0,0,4.0,2.0,1.0,0,PHI
420,Jerick McKinnon,75,SF,3.0,6,6.0,18.0,0,3.0,2.0,10.0,0,LAR
421,Trenton Cannon,69,CAR,3.0,6,3.0,12.0,0,2.0,2.0,15.0,0,CHI
422,Chris Thompson,75,JAX,2.0,6,0.0,0.0,0,4.0,3.0,15.0,0,DET
423,Damien Harris,70,NE,1.0,6,6.0,19.0,0,1.0,1.0,14.0,0,DEN
424,Ty Johnson,67,NYJ,1.0,6,3.0,42.0,0,1.0,0.0,0.0,0,MIA
425,Matt Breida,77,MIA,2.0,6,6.0,15.0,0,2.0,2.0,7.0,0,NYJ
426,KeÕShawn Vaughn,70,TB,2.0,6,5.0,42.0,0,1.0,0.0,0.0,0,GB
427,Alexander Mattison,73,MIN,2.0,6,10.0,26.0,0,2.0,1.0,4.0,0,ATL
428,Royce Freeman,75,DEN,2.0,6,8.0,26.0,0,1.0,1.0,4.0,0,NE
429,Chase Edmonds,79,ARI,2.0,6,5.0,23.0,0,2.0,1.0,6.0,0,DAL
430,JaMycal Hasty,67,SF,6.0,6,9.0,37.0,0,1.0,0.0,0.0,0,LAR
431,Ito Smith,80,ATL,3.0,6,2.0,8.0,0,1.0,1.0,17.0,0,MIN
432,Jamaal Williams,78,GB,2.0,6,4.0,34.0,0,1.0,0.0,0.0,0,TB
433,Brian Hill,67,ATL,2.0,6,10.0,28.0,0,2.0,2.0,6.0,0,MIN
434,A.J. Dillon,70,GB,3.0,6,5.0,31.0,0,0.0,0.0,0.0,0,TB
435,Kerryon Johnson,76,DET,2.0,6,4.0,9.0,0,2.0,1.0,11.0,0,JAX
436,Boston Scott,70,PHI,2.0,6,2.0,4.0,0,4.0,2.0,5.0,0,BAL
437,Dontrell Hilliard,68,CLE,5.0,6,4.0,29.0,0,0.0,0.0,0.0,0,PIT
438,Duke Johnson,74,HOU,2.0,6,4.0,9.0,0,2.0,1.0,2.0,0,TEN
439,Peyton Barber,73,WAS,1.0,6,4.0,6.0,0,1.0,1.0,4.0,0,NYG
440,Dion Lewis,76,NYG,2.0,6,0.0,0.0,0,1.0,1.0,10.0,0,WAS
441,Mark Ingram,79,BAL,1.0,6,5.0,20.0,0,0.0,0.0,0.0,0,PHI
442,Ameer Abdullah,67,MIN,3.0,6,2.0,7.0,0,2.0,1.0,1.0,0,ATL
443,Anthony McFarland Jr.,67,PIT,3.0,6,3.0,2.0,0,1.0,1.0,6.0,0,CLE
444,LeSean McCoy,83,TB,2.0,6,4.0,1.0,0,1.0,1.0,6.0,0,GB
445,Darwin Thompson,67,KC,4.0,6,3.0,17.0,0,0.0,0.0,0.0,0,BUF
446,Mike Boone,67,MIN,4.0,6,1.0,-1.0,0,1.0,1.0,6.0,0,ATL
447,Rex Burkhead,78,NE,4.0,6,5.0,14.0,0,0.0,0.0,0.0,0,DEN
448,Rico Dowdle,67,DAL,3.0,6,3.0,13.0,0,0.0,0.0,0.0,0,ARI
449,Patrick Laird,67,MIA,5.0,6,0.0,0.0,0,1.0,1.0,2.0,0,NYJ
450,Zack Moss,68,BUF,2.0,6,5.0,10.0,0,0.0,0.0,0.0,0,KC
451,D'Ernest Johnson,67,CLE,3.0,6,4.0,1.0,0,1.0,0.0,0.0,0,PIT
452,Jeffery Wilson,68,SF,4.0,7,17.0,112.0,3,2.0,2.0,8.0,0,NE
453,James Robinson,67,JAX,4.0,7,22.0,119.0,1,6.0,4.0,18.0,1,LAC
454,Todd Gurley,84,ATL,1.0,7,23.0,63.0,2,3.0,2.0,19.0,0,DET
455,Antonio Gibson,71,WAS,1.0,7,20.0,128.0,1,1.0,0.0,0.0,0,DAL
456,Jamaal Williams,79,GB,3.0,7,19.0,77.0,1,5.0,4.0,37.0,0,HOU
457,Kareem Hunt,87,CLE,2.0,7,18.0,76.0,0,4.0,3.0,26.0,1,CIN
458,Giovani Bernard,79,CIN,2.0,7,13.0,37.0,0,5.0,5.0,59.0,1,CLE
459,Boston Scott,70,PHI,2.0,7,12.0,46.0,0,5.0,3.0,46.0,1,NYG
460,Alvin Kamara,90,NO,1.0,7,14.0,83.0,0,8.0,8.0,65.0,0,CAR
461,Chase Edmonds,71,ARI,2.0,7,5.0,58.0,0,7.0,7.0,87.0,0,SEA
462,Carlos Hyde,83,SEA,2.0,7,15.0,68.0,1,4.0,3.0,8.0,0,ARI
463,Derrick Henry,95,TEN,1.0,7,20.0,75.0,1,2.0,2.0,-3.0,0,PIT
464,David Johnson,78,HOU,1.0,7,14.0,42.0,0,4.0,4.0,42.0,1,GB
465,Clyde Edwards-Helaire,71,KC,1.0,7,8.0,46.0,1,4.0,1.0,17.0,0,DEN
466,Malcolm Brown,74,LAR,3.0,7,10.0,57.0,1,1.0,0.0,0.0,0,CHI
467,Lamical Perine,67,NYJ,3.0,7,11.0,39.0,1,3.0,2.0,16.0,0,BUF
468,Wayne Gallman,71,NYG,3.0,7,10.0,34.0,1,5.0,5.0,20.0,0,PHI
469,James Conner,83,PIT,1.0,7,20.0,82.0,0,5.0,3.0,29.0,0,TEN
470,D'Andre Swift,73,DET,1.0,7,9.0,27.0,1,5.0,4.0,21.0,0,ATL
471,Melvin Gordon,84,DEN,1.0,7,17.0,68.0,1,4.0,2.0,12.0,0,KC
472,Leonard Fournette,85,TB,1.0,7,11.0,50.0,0,7.0,6.0,47.0,0,LV
473,Ronald Jones II,81,TB,2.0,7,13.0,34.0,1,2.0,1.0,2.0,0,LV
474,Phillip Lindsay,82,DEN,2.0,7,9.0,79.0,0,0.0,0.0,0.0,0,KC
475,Darrell Henderson,72,LAR,2.0,7,15.0,64.0,0,2.0,2.0,13.0,0,CHI
476,JaMycal Hasty,67,SF,6.0,7,9.0,57.0,0,1.0,1.0,16.0,0,NE
477,Zack Moss,68,BUF,2.0,7,7.0,47.0,0,3.0,3.0,25.0,0,NYJ
478,Damien Harris,71,NE,3.0,7,10.0,58.0,0,1.0,1.0,12.0,0,SF
479,David Montgomery,80,CHI,1.0,7,14.0,48.0,0,5.0,5.0,21.0,0,LAR
480,Benny Snell Jr.,70,PIT,2.0,7,2.0,2.0,1,0.0,0.0,0.0,0,TEN
481,Frank Gore,82,NYJ,2.0,7,11.0,60.0,0,0.0,0.0,0.0,0,BUF
482,Latavius Murray,77,NO,2.0,7,11.0,47.0,0,1.0,1.0,9.0,0,CAR
483,Justin Jackson,74,LAC,2.0,7,5.0,12.0,0,6.0,5.0,43.0,0,JAX
484,Joshua Kelley,67,LAC,3.0,7,12.0,29.0,0,5.0,5.0,24.0,0,JAX
485,Ezekiel Elliott,90,DAL,1.0,7,12.0,45.0,0,2.0,1.0,6.0,0,WAS
486,JD McKissic,76,WAS,4.0,7,5.0,35.0,0,2.0,2.0,16.0,0,DAL
487,Devin Singletary,81,BUF,1.0,7,8.0,29.0,0,5.0,2.0,18.0,0,NYJ
488,Rex Burkhead,78,NE,4.0,7,4.0,12.0,0,4.0,3.0,35.0,0,SF
489,Duke Johnson,80,HOU,2.0,7,1.0,-1.0,0,5.0,5.0,43.0,0,GB
490,Kenyan Drake,83,ARI,1.0,7,14.0,34.0,0,2.0,1.0,7.0,0,SEA
491,Chris Carson,83,SEA,1.0,7,5.0,34.0,0,2.0,1.0,7.0,0,ARI
492,Le'Veon Bell,87,KC,1.0,7,6.0,39.0,0,0.0,0.0,0.0,0,DEN
493,Mike Davis,72,CAR,2.0,7,7.0,12.0,0,5.0,5.0,24.0,0,NO
494,Peyton Barber,74,WAS,3.0,7,10.0,34.0,0,0.0,0.0,0.0,0,DAL
495,Josh Jacobs,88,LV,1.0,7,10.0,17.0,0,4.0,3.0,14.0,0,TB
496,Adrian Peterson,79,DET,3.0,7,11.0,29.0,0,1.0,1.0,1.0,0,ATL
497,Brian Hill,67,ATL,3.0,7,2.0,3.0,0,3.0,3.0,27.0,0,DET
498,Jalen Richard,75,LV,2.0,7,7.0,24.0,0,0.0,0.0,0.0,0,TB
499,Tony Pollard,76,DAL,2.0,7,8.0,16.0,0,1.0,1.0,6.0,0,WAS
500,Corey Clement,72,PHI,3.0,7,2.0,9.0,0,1.0,1.0,12.0,0,NYG
501,DeeJay Dallas,67,SEA,4.0,7,0.0,0.0,0,3.0,2.0,18.0,0,ARI
502,Royce Freeman,77,DEN,3.0,7,3.0,12.0,0,2.0,1.0,5.0,0,KC
503,Devontae Booker,70,LV,3.0,7,3.0,5.0,0,2.0,2.0,9.0,0,TB
504,Jason Huntley,67,PHI,4.0,7,2.0,13.0,0,1.0,0.0,0.0,0,NYG
505,A.J. Dillon,70,GB,2.0,7,5.0,11.0,0,0.0,0.0,0.0,0,HOU
506,Travis Homer,67,SEA,5.0,7,3.0,10.0,0,0.0,0.0,0.0,0,ARI
507,Devonta Freeman,83,NYG,1.0,7,3.0,8.0,0,1.0,0.0,0.0,0,PHI
508,Deandre Washington,76,KC,4.0,7,3.0,5.0,0,1.0,1.0,2.0,0,DEN
509,Trenton Cannon,68,CAR,3.0,7,1.0,7.0,0,0.0,0.0,0.0,0,NO
510,Anthony McFarland Jr.,67,PIT,3.0,7,1.0,6.0,0,1.0,0.0,0.0,0,TEN
511,Samaje Perine,69,CIN,4.0,7,1.0,3.0,0,1.0,1.0,3.0,0,CLE
512,Troymaine Pope,67,LAC,3.0,7,1.0,6.0,0,0.0,0.0,0.0,0,JAX
513,Jaylen Samuels,71,PIT,4.0,7,1.0,5.0,0,0.0,0.0,0.0,0,TEN
514,James White,84,NE,1.0,7,0.0,0.0,0,1.0,1.0,3.0,0,SF
515,Dion Lewis,76,NYG,2.0,7,3.0,23.0,0,0.0,0.0,0.0,0,PHI
516,D'Ernest Johnson,67,CLE,3.0,7,1.0,3.0,0,0.0,0.0,0.0,0,CIN
517,Jeremy McNichols,69,TEN,4.0,7,1.0,2.0,0,0.0,0.0,0.0,0,PIT
518,Dalvin Cook,97,MIN,1.0,8,30.0,163.0,3,3.0,2.0,63.0,1,GB
519,Alvin Kamara,92,NO,1.0,8,12.0,67.0,0,13.0,9.0,96.0,0,CHI
520,Giovani Bernard,81,CIN,1.0,8,15.0,62.0,1,4.0,3.0,16.0,1,TEN
521,DeeJay Dallas,67,SEA,4.0,8,18.0,41.0,1,5.0,5.0,17.0,1,SF
522,Nyheim Hines,82,IND,2.0,8,5.0,8.0,0,5.0,3.0,54.0,2,DET
523,Jordan Wilkins,73,IND,3.0,8,20.0,89.0,1,1.0,1.0,24.0,0,DET
524,Zack Moss,68,BUF,2.0,8,14.0,81.0,2,1.0,0.0,0.0,0,NE
525,Jamaal Williams,78,GB,2.0,8,16.0,75.0,0,6.0,6.0,27.0,0,MIN
526,Derrick Henry,93,TEN,1.0,8,18.0,112.0,1,1.0,0.0,0.0,0,CIN
527,Justin Jackson,73,LAC,2.0,8,17.0,89.0,0,5.0,3.0,53.0,0,DEN
528,Damien Harris,70,NE,1.0,8,16.0,102.0,1,0.0,0.0,0.0,0,BUF
529,Phillip Lindsay,82,DEN,1.0,8,6.0,83.0,1,3.0,1.0,3.0,0,LAC
530,James Conner,80,PIT,1.0,8,15.0,47.0,1,3.0,3.0,13.0,0,BAL
531,Gus Edwards,81,BAL,2.0,8,16.0,87.0,1,1.0,0.0,0.0,0,PIT
532,Troymaine Pope,67,LAC,4.0,8,10.0,67.0,0,7.0,5.0,28.0,0,DEN
533,Jerick McKinnon,75,SF,3.0,8,3.0,-1.0,1,4.0,4.0,40.0,0,SEA
534,Myles Gaskin,76,MIA,1.0,8,18.0,47.0,1,6.0,3.0,16.0,0,LAR
535,Wayne Gallman,72,NYG,1.0,8,12.0,44.0,1,1.0,1.0,18.0,0,TB
536,J.K. Dobbins,77,BAL,1.0,8,15.0,113.0,0,2.0,1.0,8.0,0,PIT
537,Josh Jacobs,91,LV,1.0,8,31.0,128.0,0,1.0,0.0,0.0,0,CLE
538,David Montgomery,79,CHI,1.0,8,21.0,89.0,0,5.0,2.0,16.0,0,NO
539,Melvin Gordon,83,DEN,1.0,8,8.0,26.0,0,7.0,6.0,21.0,0,LAC
540,Todd Gurley,78,ATL,1.0,8,18.0,46.0,1,0.0,0.0,0.0,0,CAR
541,Samaje Perine,69,CIN,2.0,8,10.0,32.0,1,1.0,1.0,2.0,0,TEN
542,Devin Singletary,79,BUF,1.0,8,14.0,86.0,0,1.0,1.0,6.0,0,NE
543,JaMycal Hasty,67,SF,6.0,8,12.0,29.0,1,1.0,1.0,2.0,0,SEA
544,Leonard Fournette,81,TB,1.0,8,15.0,52.0,0,6.0,3.0,19.0,0,NYG
545,Boston Scott,70,PHI,2.0,8,15.0,70.0,0,2.0,2.0,9.0,0,DAL
546,Kerryon Johnson,76,DET,2.0,8,0.0,0.0,0,2.0,2.0,15.0,1,IND
547,Kareem Hunt,84,CLE,2.0,8,14.0,66.0,0,3.0,2.0,7.0,0,LV
548,Dion Lewis,76,NYG,2.0,8,0.0,0.0,0,3.0,2.0,8.0,1,TB
549,Mike Davis,78,CAR,1.0,8,13.0,66.0,0,2.0,1.0,11.0,0,ATL
550,Tony Pollard,79,DAL,2.0,8,7.0,40.0,0,2.0,2.0,24.0,0,PHI
551,Brian Hill,67,ATL,2.0,8,11.0,55.0,0,3.0,2.0,9.0,0,CAR
