,name,rtg,team,dep,week,att,yds,td,tgts,rec,rec yds,rec td,opponent
63,Brian Hill,67,ATL,3.0,1,3.0,12.0,0,2.0,2.0,8.0,0,SEA
64,Leonard Fournette,85,TB,1.0,1,5.0,5.0,0,1.0,1.0,14.0,0,NO
65,Gus Edwards,74,BAL,3.0,1,4.0,17.0,0,0.0,0.0,0.0,0,CLE
66,James Conner,83,PIT,1.0,1,6.0,9.0,0,4.0,2.0,8.0,0,NYG
67,Jalen Richard,75,LV,2.0,1,0.0,0.0,0,1.0,1.0,15.0,0,CAR
68,Wayne Gallman,71,NYG,3.0,1,0.0,0.0,0,1.0,1.0,14.0,0,PIT
69,Kerryon Johnson,79,DET,2.0,1,7.0,14.0,0,0.0,0.0,0.0,0,CHI
70,Duke Johnson,80,HOU,2.0,1,5.0,14.0,0,1.0,0.0,0.0,0,KC
71,A.J. Dillon,70,GB,2.0,1,2.0,14.0,0,0.0,0.0,0.0,0,MIN
72,Royce Freeman,77,DEN,3.0,1,1.0,0.0,0,1.0,1.0,12.0,0,TEN
73,Patrick Laird,67,MIA,4.0,1,0.0,0.0,0,2.0,2.0,9.0,0,NE
74,Darrell Henderson,72,LAR,2.0,1,3.0,6.0,0,0.0,0.0,0.0,0,DAL
75,Ito Smith,74,ATL,2.0,1,1.0,4.0,0,3.0,3.0,2.0,0,SEA
76,Chris Thompson,79,JAX,2.0,1,0.0,0.0,0,2.0,2.0,6.0,0,IND
77,Khari Blasingame,67,TEN,3.0,1,0.0,0.0,0,1.0,1.0,5.0,0,DEN
78,D'Ernest Johnson,67,CLE,3.0,1,1.0,5.0,0,0.0,0.0,0.0,0,BAL
79,Justin Jackson,74,LAC,2.0,1,2.0,4.0,0,0.0,0.0,0.0,0,CIN
80,Travis Homer,67,SEA,5.0,1,3.0,-1.0,0,2.0,2.0,4.0,0,ATL
81,Jaylen Samuels,71,PIT,4.0,1,1.0,2.0,0,1.0,1.0,1.0,0,NYG
82,LeSean McCoy,79,TB,4.0,1,0.0,0.0,0,1.0,1.0,2.0,0,NO
83,Jason Huntley,67,PHI,4.0,1,1.0,1.0,0,0.0,0.0,0.0,0,WAS
84,Dion Lewis,76,NYG,2.0,1,1.0,1.0,0,1.0,0.0,0.0,0,PIT
85,Aaron Jones,88,GB,1.0,2,18.0,168.0,2,8.0,4.0,68.0,1,DET
86,Alvin Kamara,92,NO,1.0,2,13.0,79.0,2,9.0,9.0,95.0,0,LV
87,Leonard Fournette,81,TB,1.0,2,12.0,103.0,2,5.0,4.0,13.0,0,CAR
88,Nick Chubb,95,CLE,1.0,2,22.0,124.0,2,1.0,1.0,9.0,0,CIN
89,Christian McCaffrey,99,CAR,2.0,2,18.0,59.0,2,5.0,4.0,29.0,0,TB
90,Kareem Hunt,84,CLE,2.0,2,10.0,86.0,1,2.0,2.0,15.0,1,CIN
91,Ezekiel Elliott,88,DAL,1.0,2,22.0,89.0,1,7.0,6.0,33.0,0,ATL
92,David Montgomery,79,CHI,1.0,2,16.0,82.0,0,3.0,3.0,45.0,1,NYG
93,James Robinson,81,JAX,1.0,2,16.0,102.0,1,4.0,3.0,18.0,0,TEN
94,Darrell Henderson,73,LAR,1.0,2,12.0,81.0,1,3.0,2.0,40.0,0,PHI
95,Miles Sanders,84,PHI,1.0,2,20.0,95.0,1,7.0,3.0,36.0,0,LAR
96,James Conner,80,PIT,1.0,2,16.0,106.0,1,2.0,2.0,15.0,0,LAR
97,Chris Carson,89,SEA,1.0,2,17.0,72.0,0,3.0,3.0,36.0,1,NE
