NAME,TEAM,BYE,GP,FPTS,ATT,TD,ATT %,TGTS,REC,TGT %,CATCH%
Le'Veon Bell,KC,11,8,9.2,5,0,10,5.9,3.2,2.1,54.2
Devontae Booker,LV,6,12,8.8,6.5,0,6.7,2.3,2.3,0.7,100
Latavius Murray,NO,6,1,8.8,0,0,0,0,0,0,0
JD McKissic,WAS,8,12,8.7,6.2,0,8.6,5.9,3.7,2.2,62.7
James White,NE,6,9,8.4,0.1,0,0.1,7.8,5.9,2.3,75.6
Joe Mixon,CIN,9,1,8.3,0,1,0,2,0,0.7,0
Jamaal Williams,GB,5,1,8.1,0,0,0,0,0,0,0
James Robinson,JAX,7,1,8,0,0,0,0,0,0,0
Ito Smith,ATL,10,1,8,0,0,0,3,0,1,0
Kalen Ballage,NYJ,11,7,7.7,1.4,0,2.8,2.3,1.2,0.8,52.2
Mike Davis,CAR,13,1,7.6,0,0,0,2,0,0.8,0
Chris Carson,SEA,6,1,7.6,0,0,0,0,0,0,0
Adrian Peterson,DET,5,1,7.5,0,0,0,0,0,0,0
Nick Chubb,CLE,9,1,7.4,0,0,0,0,0,0,0
Frank Gore,NYJ,11,11,7.3,9.2,0,18.5,0,0,0,0
Latavius Murray,NO,6,11,7.3,3.8,0,3.8,3.2,2.3,1,71.9
Ke’Shawn Vaughn,TB,13,1,7.2,2,1,4,2,0,0.6,0
Chase Edmonds,ARI,8,1,7.1,2,1,1.9,2,0,0.7,0
Melvin Gordon,DEN,8,1,6.9,0,0,0,0,0,0,0
Raheem Mostert,SF,11,1,6.8,0,0,0,0,0,0,0
Devonta Freeman,NYG,11,4,6.8,2.7,0,6.7,0.1,0.1,0,100
Cam Akers,LAR,9,1,6.7,0,0,0,0,0,0,0
Alexander Mattison,MIN,7,1,6.6,0,0,0,0,0,0,0
Mark Ingram,BAL,8,7,6.5,4.2,0,6.4,5.9,2.9,2.5,49.2
Devin Singletary,BUF,11,1,6.5,2,0,2.3,0,0,0,0
Tony Pollard,DAL,10,2,6.5,2,0,3.3,0,0,0,0
Jerick McKinnon,SF,11,1,6.4,2,0,2.5,0,0,0,0
Aaron Jones,GB,5,1,6.4,4,1,5.6,1,0,0.3,0
Reggie Bonnafon,CAR,13,1,6.3,0,1,0,1,0,0.4,0
CJ Prosise,HOU,8,1,6.2,2,1,5.9,1,0,0.4,0
Mark Ingram,BAL,8,1,6.1,1,0,1.5,0,0,0,0
