NAME,RTG,TEAM,DEP,WEEK,ATT,YDS,TD,TGTS,REC,REC YDS,REC TD
Aaron Jones,88,GB,1,2,18,168,2,8,4,68,1
Alvin Kamara,92,NO,1,2,13,79,2,9,9,95,0
Leonard Fournette,81,TB,1,2,12,103,2,5,4,13,0
Nick Chubb,95,CLE,1,2,22,124,2,1,1,9,0
Christian McCaffrey,99,CAR,2,2,18,59,2,5,4,29,0
Kareem Hunt,84,CLE,2,2,10,86,1,2,2,15,1
Ezekiel Elliott,88,DAL,1,2,22,89,1,7,6,33,0
David Montgomery,79,CHI,1,2,16,82,0,3,3,45,1
James Robinson,81,JAX,1,2,16,102,1,4,3,18,0
Darrell Henderson,73,LAR,1,2,12,81,1,3,2,40,0
Miles Sanders,84,PHI,1,2,20,95,1,7,3,36,0
James Conner,80,PIT,1,2,16,106,1,2,2,15,0
Chris Carson,89,SEA,1,2,17,72,0,3,3,36,1
Jonathan Taylor,81,IND,1,2,26,101,1,2,2,9,0
Austin Ekeler,86,LAC,1,2,16,93,0,4,4,55,0
Raheem Mostert,84,SF,1,2,8,92,1,2,2,15,0
Dalvin Cook,97,MIN,1,2,14,63,1,2,2,8,0
Melvin Gordon,83,DEN,1,2,19,70,0,3,2,14,1
Mark Ingram,79,BAL,1,2,9,55,1,3,2,22,0
Dion Lewis,76,NYG,2,2,10,20,1,5,4,36,0
Mike Davis,78,CAR,1,2,1,1,0,8,8,74,0
Myles Gaskin,76,MIA,1,2,7,46,0,7,6,36,0
Jerick McKinnon,75,SF,3,2,3,77,1,1,0,0,0
Josh Jacobs,91,LV,1,2,27,88,0,3,3,17,0
Joshua Kelley,67,LAC,3,2,23,64,0,2,2,49,0
Clyde Edwards-Helaire,83,KC,1,2,10,38,0,8,6,32,0
Joe Mixon,87,CIN,1,2,16,46,0,4,4,40,0
D'Andre Swift,76,DET,3,2,5,12,0,5,5,60,0
Antonio Gibson,76,WAS,3,2,13,55,1,2,1,-3,0
Chris Thompson,75,JAX,2,2,2,7,0,4,3,20,1
Kenyan Drake,81,ARI,1,2,20,86,0,2,2,9,0
Ronald Jones II,83,TB,1,2,7,23,1,2,2,4,0
Devin Singletary,79,BUF,1,2,10,56,0,3,2,20,0
Kerryon Johnson,76,DET,2,2,8,32,1,1,0,0,0
Rex Burkhead,78,NE,4,2,6,2,0,6,4,47,0
Jalen Richard,77,LV,3,2,2,26,1,0,0,0,0
Derrick Henry,93,TEN,1,2,25,84,0,2,0,0,0
Jamaal Williams,78,GB,2,2,8,63,0,0,0,0,0
Giovani Bernard,81,CIN,1,2,1,3,0,7,5,22,0
Gus Edwards,81,BAL,2,2,10,73,0,0,0,0,0
Boston Scott,70,PHI,2,2,4,19,0,3,3,24,0
J.K. Dobbins,77,BAL,1,2,2,48,0,1,1,13,0
LeSean McCoy,83,TB,2,2,1,-5,0,7,5,26,0
Jordan Howard,78,MIA,1,2,5,4,1,0,0,0,0
Frank Gore,79,NYJ,1,2,21,63,0,2,0,0,0
Todd Gurley,78,ATL,1,2,21,61,0,0,0,0,0
Tevin Coleman,85,SF,2,2,14,12,0,2,2,28,0
Carlos Hyde,79,SEA,2,2,5,22,0,2,2,15,0
Latavius Murray,82,NO,2,2,3,14,0,2,2,19,0
JD McKissic,77,WAS,2,2,8,53,0,0,0,0,0
Matt Breida,77,MIA,2,2,7,37,0,2,1,2,0
Malcolm Brown,70,LAR,2,2,11,47,0,0,0,0,0
Ty Montgomery,75,NO,4,2,0,0,0,3,2,25,0
Brian Hill,67,ATL,2,2,3,14,0,2,2,11,0
Chase Edmonds,79,ARI,2,2,3,4,0,4,3,9,0
Adrian Peterson,76,DET,1,2,7,41,0,0,0,0,0
Jordan Wilkins,73,IND,3,2,9,40,0,0,0,0,0
Zack Moss,68,BUF,2,2,8,37,0,0,0,0,0
Kalen Ballage,67,NYJ,4,2,1,5,0,2,2,12,0
Tarik Cohen,81,CHI,2,2,5,12,0,1,1,15,0
Saquon Barkley,88,NYG,1,2,4,28,0,0,0,0,0
Alexander Mattison,73,MIN,2,2,3,13,0,2,1,3,0
Darrel Williams,67,KC,3,2,0,0,0,1,1,12,0
Travis Homer,67,SEA,3,2,3,21,0,0,0,0,0
Darwin Thompson,67,KC,4,2,4,21,0,1,0,0,0
Ito Smith,80,ATL,3,2,5,20,0,0,0,0,0
Royce Freeman,75,DEN,2,2,3,20,0,0,0,0,0
Sony Michel,82,NE,1,2,7,19,0,1,0,0,0
Tony Pollard,79,DAL,2,2,2,6,0,1,1,3,0
Lamical Perine,67,NYJ,3,2,3,17,0,0,0,0,0
A.J. Dillon,70,GB,3,2,5,17,0,0,0,0,0
Devontae Booker,71,LV,2,2,3,-1,0,1,1,6,0
Jaylen Samuels,72,PIT,2,2,0,0,0,2,1,4,0
Nyheim Hines,82,IND,2,2,0,0,0,1,1,4,0
Tyler Ervin,70,GB,3,2,0,0,0,1,1,4,0
Cam Akers,77,LAR,1,2,3,13,0,0,0,0,0
Ryan Nall,67,CHI,2,2,0,0,0,1,1,2,0
Senorise Perry,67,TEN,5,2,2,9,0,0,0,0,0
Jeremy McNichols,69,TEN,2,2,2,7,0,0,0,0,0
Jeffery Wilson,67,SF,4,2,2,3,0,0,0,0,0
Peyton Barber,73,WAS,1,2,1,1,0,0,0,0,0
Alvin Kamara,92,NO,1,3,6,58,0,14,13,139,2
Rex Burkhead,78,NE,4,3,6,49,2,10,7,49,1
Austin Ekeler,86,LAC,1,3,12,59,1,11,11,84,0
James Robinson,81,JAX,1,3,11,46,2,6,6,83,0
Derrick Henry,93,TEN,1,3,26,119,2,3,2,11,0
Dalvin Cook,97,MIN,1,3,22,181,1,5,2,18,0
James Conner,80,PIT,1,3,18,109,1,5,4,40,0
Nick Chubb,95,CLE,1,3,19,108,2,1,1,2,0
Mike Davis,78,CAR,1,3,13,46,0,9,8,45,1
Jeffery Wilson,67,SF,4,3,12,15,1,3,3,54,1
Darrell Henderson,73,LAR,1,3,20,114,1,3,1,6,0
Clyde Edwards-Helaire,83,KC,1,3,20,64,0,6,5,70,0
Ezekiel Elliott,88,DAL,1,3,14,34,1,11,6,24,0
Jerick McKinnon,75,SF,3,3,14,38,1,4,3,39,0
Aaron Jones,88,GB,1,3,16,69,1,4,2,17,0
Devin Singletary,79,BUF,1,3,13,71,0,5,4,50,0
Sony Michel,82,NE,1,3,9,117,0,2,2,23,0
Todd Gurley,78,ATL,1,3,14,80,1,2,1,2,0
Brian Hill,67,ATL,2,3,9,58,1,3,1,22,0
Miles Sanders,84,PHI,1,3,18,95,0,8,4,12,0
Myles Gaskin,76,MIA,1,3,22,66,0,5,5,29,0
Kareem Hunt,84,CLE,2,3,16,46,0,3,2,18,1
Jonathan Taylor,81,IND,1,3,13,59,1,1,1,3,0
Antonio Gibson,76,WAS,3,3,9,49,1,3,3,11,0
David Johnson,75,HOU,1,3,13,23,1,3,2,23,0
Chris Carson,89,SEA,1,3,14,64,0,3,3,12,0
Kalen Ballage,67,NYJ,4,3,2,8,0,5,5,44,0
Nyheim Hines,82,IND,2,3,7,21,0,5,4,40,0
Adrian Peterson,76,DET,1,3,22,75,0,1,1,10,0
Ronald Jones II,83,TB,1,3,13,53,0,4,2,20,0
Josh Jacobs,91,LV,1,3,16,71,0,4,3,12,0
Kenyan Drake,81,ARI,1,3,18,73,0,1,1,6,0
Chris Thompson,75,JAX,2,3,2,3,0,6,5,35,0
Joe Mixon,87,CIN,1,3,17,49,0,3,2,16,0
Giovani Bernard,81,CIN,1,3,0,0,0,3,3,55,0
J.K. Dobbins,77,BAL,1,3,1,6,0,4,4,38,0
JD McKissic,77,WAS,2,3,5,15,0,4,3,37,0
Melvin Gordon,83,DEN,1,3,8,26,0,6,4,12,0
Latavius Murray,82,NO,2,3,12,58,0,1,1,7,0
David Montgomery,79,CHI,1,3,14,45,0,3,2,9,0
Frank Gore,79,NYJ,1,3,15,57,0,1,1,5,0
Tarik Cohen,81,CHI,2,3,2,21,0,6,3,20,0
Jordan Howard,78,MIA,1,3,3,1,1,0,0,0,0
Anthony McFarland Jr.,67,PIT,3,3,6,42,0,2,1,7,0
Royce Freeman,75,DEN,2,3,2,4,0,2,2,31,0
Jordan Wilkins,73,IND,3,3,9,39,0,1,1,6,0
Chase Edmonds,79,ARI,2,3,3,13,0,2,2,21,0
Jalen Richard,77,LV,3,3,1,14,0,3,3,8,0
Joshua Kelley,67,LAC,3,3,8,43,0,2,2,9,0
LeSean McCoy,83,TB,2,3,0,0,0,4,2,24,0
Lamical Perine,67,NYJ,3,3,7,24,0,2,2,-1,0
JJ Taylor,67,NE,3,3,11,43,0,1,0,0,0
Leonard Fournette,81,TB,1,3,7,15,0,2,2,7,0
Kerryon Johnson,76,DET,2,3,3,16,0,1,1,14,0
Gus Edwards,81,BAL,2,3,4,39,0,0,0,0,0
Wayne Gallman,72,NYG,1,3,4,7,0,3,2,7,0
Carlos Hyde,79,SEA,2,3,4,12,0,1,1,11,0
Tyler Ervin,70,GB,3,3,1,5,0,2,2,8,0
Devontae Booker,71,LV,2,3,3,31,0,0,0,0,0
Mark Ingram,79,BAL,1,3,7,30,0,1,0,0,0
D'Andre Swift,76,DET,3,3,0,0,0,2,1,19,0
JaMycal Hasty,67,SF,6,3,2,9,0,1,1,9,0
Darrel Williams,67,KC,3,3,2,6,0,2,2,1,0
Jamaal Williams,78,GB,2,3,6,14,0,1,1,3,0
Alexander Mattison,73,MIN,2,3,8,27,0,0,0,0,0
Dion Lewis,76,NYG,2,3,1,0,0,3,1,10,0
Travis Homer,67,SEA,3,3,2,19,0,1,0,0,0
Malcolm Brown,70,LAR,2,3,7,19,0,2,0,0,0
TJ Yeldon,76,BUF,2,3,3,18,0,0,0,0,0
Reggie Bonnafon,67,CAR,2,3,2,16,0,0,0,0,0
Jeremy McNichols,69,TEN,2,3,0,0,0,1,1,5,0
Benny Snell Jr.,75,PIT,2,3,7,11,0,0,0,0,0
Devonta Freeman,76,NYG,1,3,5,10,0,0,0,0,0
Darrynton Evans,71,TEN,5,3,3,9,0,0,0,0,0
Corey Clement,76,PHI,3,3,3,8,0,0,0,0,0
Peyton Barber,73,WAS,1,3,3,6,0,0,0,0,0
Boston Scott,70,PHI,2,3,3,5,0,1,0,0,0
Tony Pollard,79,DAL,2,3,0,0,0,1,1,-5,0
Matt Breida,77,MIA,2,3,3,4,0,0,0,0,0
Jaylen Samuels,72,PIT,2,3,1,1,0,0,0,0,0
CJ Prosise,69,HOU,3,3,1,1,0,0,0,0,0
Joe Mixon,87,CIN,1,4,25,151,2,6,6,30,1
Dalvin Cook,97,MIN,1,4,27,130,2,2,2,16,0
Melvin Gordon,83,DEN,1,4,23,107,2,3,2,11,0
Chris Carson,89,SEA,1,4,16,80,2,4,3,20,0
Antonio Gibson,76,WAS,3,4,13,46,1,5,4,82,0
Jerick McKinnon,75,SF,3,4,14,54,1,8,7,43,0
Mike Davis,78,CAR,1,4,16,84,1,6,5,27,0
Aaron Jones,88,GB,1,4,15,71,0,5,5,40,1
Latavius Murray,82,NO,2,4,14,64,2,2,1,19,0
Alvin Kamara,92,NO,1,4,19,83,1,4,3,36,0
Todd Gurley,78,ATL,1,4,16,57,2,1,1,6,0
Kareem Hunt,84,CLE,2,4,11,71,2,0,0,0,0
Ronald Jones II,83,TB,1,4,20,111,0,9,6,17,0
Devin Singletary,79,BUF,1,4,18,56,1,6,5,21,0
Ezekiel Elliott,88,DAL,1,4,12,54,0,8,8,71,0
Jamaal Williams,78,GB,2,4,8,10,0,8,8,95,0
D'Andre Swift,76,DET,3,4,4,22,0,4,4,30,1
Reggie Bonnafon,67,CAR,2,4,10,53,0,2,2,18,1
Chase Edmonds,79,ARI,2,4,4,16,0,6,5,24,1
James Robinson,81,JAX,1,4,17,75,0,4,4,32,0
James White,81,NE,1,4,3,21,0,8,7,38,0
Clyde Edwards-Helaire,83,KC,1,4,16,64,0,3,3,27,0
David Johnson,75,HOU,1,4,16,63,0,3,2,29,0
Devonta Freeman,76,NYG,1,4,11,33,0,4,4,35,0
David Montgomery,79,CHI,1,4,10,27,0,6,3,30,0
Malcolm Brown,70,LAR,2,4,9,38,0,6,5,19,0
Mark Ingram,79,BAL,1,4,8,34,1,1,1,3,0
Ke’Shawn Vaughn,70,TB,2,4,3,4,0,3,2,22,1
Josh Jacobs,91,LV,1,4,15,48,0,4,3,25,0
Tony Pollard,79,DAL,2,4,3,16,1,2,1,16,0
Damien Harris,70,NE,1,4,17,100,0,0,0,0,0
Adrian Peterson,76,DET,1,4,11,36,1,2,0,0,0
JD McKissic,77,WAS,2,4,2,6,0,8,7,40,0
Miles Sanders,84,PHI,1,4,13,46,0,4,2,30,0
D'Ernest Johnson,67,CLE,3,4,13,95,0,0,0,0,0
Myles Gaskin,76,MIA,1,4,10,40,0,4,3,22,0
Jonathan Taylor,81,IND,1,4,17,68,0,1,1,11,0
Matt Breida,77,MIA,2,4,3,9,0,3,3,39,0
Travis Homer,67,SEA,3,4,4,5,0,1,1,3,1
Alexander Mattison,73,MIN,2,4,7,17,1,0,0,0,0
Duke Johnson,74,HOU,2,4,5,24,0,4,3,21,0
Nyheim Hines,82,IND,2,4,9,24,0,3,3,8,0
Rex Burkhead,78,NE,4,4,11,45,0,1,1,5,0
Ito Smith,80,ATL,3,4,2,3,0,3,3,24,0
Darrell Henderson,73,LAR,1,4,8,21,0,1,1,16,0
Frank Gore,79,NYJ,1,4,13,30,0,2,1,6,0
Wayne Gallman,72,NYG,1,4,6,45,0,0,0,0,0
Brian Hill,67,ATL,2,4,4,10,0,2,2,13,0
DeeJay Dallas,67,SEA,4,4,2,8,0,2,2,15,0
Joshua Kelley,67,LAC,3,4,9,7,0,3,3,26,0
Nick Chubb,95,CLE,1,4,6,43,0,0,0,0,0
Jordan Wilkins,73,IND,3,4,9,15,0,1,1,16,0
Justin Jackson,73,LAC,2,4,6,9,0,2,2,12,0
Dion Lewis,76,NYG,2,4,1,10,0,3,2,8,0
Gus Edwards,81,BAL,2,4,9,38,0,0,0,0,0
Jalen Richard,77,LV,3,4,1,6,0,4,2,10,0
Kenyan Drake,81,ARI,1,4,13,35,0,0,0,0,0
Royce Freeman,75,DEN,2,4,3,6,0,2,2,6,0
Kalen Ballage,67,NYJ,4,4,0,0,0,3,2,11,0
Dontrell Hilliard,68,CLE,5,4,5,19,0,1,1,2,0
Jeffery Wilson,67,SF,4,4,3,6,0,1,1,13,0
J.K. Dobbins,77,BAL,1,4,5,16,0,2,1,1,0
Austin Ekeler,86,LAC,1,4,2,12,0,1,1,2,0
Kerryon Johnson,76,DET,2,4,3,9,0,1,1,3,0
Giovani Bernard,81,CIN,1,4,2,19,0,0,0,0,0
Tyler Ervin,70,GB,3,4,0,0,0,2,1,8,0
LeSean McCoy,83,TB,2,4,1,3,0,1,1,3,0
Lamical Perine,67,NYJ,3,4,5,15,0,0,0,0,0
Theo Riddick,76,LV,3,4,2,13,0,0,0,0,0
Jordan Howard,78,MIA,1,4,2,2,0,1,1,-3,0
Peyton Barber,73,WAS,1,4,3,5,0,1,0,0,0
Corey Clement,76,PHI,3,4,2,3,0,0,0,0,0
A.J. Dillon,70,GB,3,4,1,3,0,0,0,0,0
Darrel Williams,67,KC,3,4,1,2,0,1,0,0,0
Boston Scott,70,PHI,2,4,2,1,0,0,0,0,0
Mike Davis,78,CAR,1,5,16,89,0,10,9,60,1
Todd Gurley,78,ATL,1,5,14,121,1,5,4,29,0
Miles Sanders,84,PHI,1,5,11,80,2,4,2,19,0
Ezekiel Elliott,88,DAL,1,5,19,91,2,2,1,14,0
Josh Jacobs,91,LV,1,5,23,77,2,3,2,8,0
Darrell Henderson,73,LAR,1,5,15,38,1,4,3,30,1
