,name,rtg,team,dep,week,tgts,rec,rec yds,rec td,att,yds,td,opponent
79,Zach Ertz,81,PHI,1.0,2,7,5,42,0,0,0,0,LAR
80,Anthony Firkser,70,TEN,3.0,2,4,4,45,0,0,0,0,JAX
81,James O'Shaughnessy,74,JAX,1.0,2,4,4,40,0,0,0,0,TEN
82,Eric Ebron,85,PIT,1.0,2,5,3,43,0,0,0,0,LAR
83,Reggie Gilliam,67,BUF,1.0,2,1,1,1,1,0,0,0,MIA
84,Dallas Goedert,85,PHI,2.0,2,8,4,30,0,0,0,0,LAR
85,Logan Thomas,80,WAS,1.0,2,9,4,26,0,0,0,0,ARI
86,Blake Bell,69,DAL,2.0,2,3,2,34,0,0,0,0,ATL
87,Dan Arnold,67,ARI,1.0,2,4,2,26,0,0,0,0,WAS
88,Austin Hooper,87,CLE,1.0,2,4,2,22,0,0,0,0,CIN
89,Foster Moreau,74,LV,3.0,2,1,1,31,0,0,0,0,NO
90,Mark Andrews,86,BAL,1.0,2,3,1,29,0,0,0,0,HOU
91,Ryan Izzo,67,NE,1.0,2,2,2,19,0,0,0,0,SEA
92,Jimmy Graham,78,CHI,2.0,2,1,1,18,0,0,0,0,NYG
93,Adam Trautman,70,NO,2.0,2,1,1,17,0,0,0,0,LV
94,Dawson Knox,75,BUF,1.0,2,3,1,36,0,0,0,0,MIA
95,Josh Hill,81,NO,1.0,2,2,1,16,0,0,0,0,LV
96,Harrison Bryant,67,CLE,2.0,2,2,1,14,0,0,0,0,CIN
97,Cole Kmet,73,CHI,1.0,2,1,1,12,0,0,0,0,NYG
98,OJ Howard,84,TB,2.0,2,3,1,11,0,0,0,0,CAR
99,Nick Boyle,83,BAL,2.0,2,1,1,11,0,0,0,0,HOU
100,Kaden Smith,67,NYG,3.0,2,3,2,-1,0,0,0,0,CHI
101,Will Dissly,77,SEA,1.0,2,1,1,9,0,0,0,0,NE
102,Chris Manhertz,70,CAR,2.0,2,1,1,8,0,0,0,0,TB
103,Ross Dwelley,68,SF,2.0,2,1,1,5,0,0,0,0,NYJ
104,Chris Herndon IV,77,NYJ,1.0,2,4,1,5,0,0,0,0,SF
105,Marcedes Lewis,75,GB,1.0,2,1,1,4,0,0,0,0,DET
106,Adam Shaheen,74,MIA,3.0,2,2,1,4,0,0,0,0,BUF
107,Irv Smith Jr.,77,MIN,1.0,2,4,1,3,0,0,0,0,IND
108,Jason Witten,80,LV,1.0,2,1,1,3,0,0,0,0,NO
109,Vance McDonald,77,PIT,2.0,2,2,1,3,0,0,0,0,LAR
110,Marcus Baugh,67,WAS,3.0,2,1,1,2,0,0,0,0,ARI
111,Jimmy Graham,78,CHI,2.0,3,10,6,60,2,0,0,0,ATL
112,Tyler Kroft,76,BUF,2.0,3,5,4,24,2,0,0,0,LAR
113,Eric Ebron,85,PIT,1.0,3,7,5,52,1,0,0,0,HOU
114,Robert Tonyan Jr.,79,GB,1.0,3,5,5,50,1,0,0,0,NO
115,Travis Kelce,96,KC,1.0,3,7,6,87,0,0,0,0,BAL
116,Zach Ertz,81,PHI,1.0,3,10,7,70,0,0,0,0,CIN
117,Mo Alie-Cox,67,IND,1.0,3,3,3,50,1,0,0,0,NYJ
118,Jesse James,74,DET,2.0,3,4,3,28,1,0,0,0,ARI
119,Jonnu Smith,82,TEN,1.0,3,8,5,61,0,0,0,0,MIN
120,Greg Olsen,77,SEA,1.0,3,6,5,61,0,0,0,0,DAL
121,Rob Gronkowski,87,TB,1.0,3,7,6,48,0,0,0,0,DEN
122,Foster Moreau,74,LV,3.0,3,2,2,25,1,0,0,0,NE
123,Hunter Henry,85,LAC,1.0,3,7,5,50,0,0,0,0,CAR
124,Noah Fant,85,DEN,1.0,3,10,5,46,0,0,0,0,TB
125,T.J. Hockenson,81,DET,1.0,3,7,4,53,0,0,0,0,ARI
126,Kyle Rudolph,80,MIN,1.0,3,3,2,11,1,0,0,0,TEN
127,Jacob Hollister,73,SEA,2.0,3,2,1,1,1,0,0,0,DAL
128,Ross Dwelley,68,SF,2.0,3,4,4,49,0,0,0,0,NYG
129,Dalton Schultz,73,DAL,1.0,3,6,4,48,0,0,0,0,SEA
130,Marcedes Lewis,75,GB,1.0,3,2,1,18,1,0,0,0,NO
131,Mike Gesicki,84,MIA,2.0,3,3,1,15,1,0,0,0,JAX
132,Tyler Higbee,82,LAR,1.0,3,2,2,40,0,0,0,0,BUF
133,OJ Howard,84,TB,2.0,3,4,3,49,0,0,0,0,DEN
134,Nick Boyle,83,BAL,2.0,3,1,1,5,1,0,0,0,KC
135,Harrison Bryant,67,CLE,2.0,3,2,1,3,1,0,0,0,WAS
136,Logan Thomas,80,WAS,1.0,3,7,4,31,0,0,0,0,CLE
137,Lee Smith,73,BUF,3.0,3,1,1,1,1,0,0,0,LAR
138,Hayden Hurst,77,ATL,1.0,3,3,1,1,1,0,0,0,CHI
139,Jace Sternberger,73,GB,2.0,3,3,3,36,0,0,0,0,NO
140,Vance McDonald,77,PIT,2.0,3,3,3,35,0,0,0,0,HOU
141,James O'Shaughnessy,74,JAX,1.0,3,4,3,29,0,0,0,0,MIA
142,Austin Hooper,87,CLE,1.0,3,4,3,25,0,0,0,0,WAS
