,name,rtg,team,dep,week,tgts,rec,rec yds,rec td,att,yds,td,opponent
80,Randall Cobb,79,HOU,3.0,1,3,2,23,0,0,0,0,KC
81,Odell Beckham Jr,92,CLE,1.0,1,10,3,22,0,0,0,0,BAL
82,Hunter Renfrow,75,LV,2.0,1,2,2,21,0,0,0,0,CAR
83,Dontrelle Inman,74,WAS,4.0,1,5,2,21,0,0,0,0,PHI
84,Demarcus Robinson,78,KC,4.0,1,6,3,20,0,0,0,0,HOU
85,Brandin Cooks,83,HOU,2.0,1,5,2,20,0,0,0,0,KC
86,N'Keal Harry,76,NE,2.0,1,6,5,39,0,0,0,0,MIA
87,Zach Pascal,71,IND,4.0,1,3,2,18,0,0,0,0,JAX
88,Daesean Hamilton,71,DEN,4.0,1,3,1,18,0,0,0,0,TEN
89,CJ Board,69,NYG,7.0,1,2,2,17,0,0,0,0,PIT
90,Freddie Swain,67,SEA,7.0,1,1,1,17,0,0,0,0,ATL
91,Breshad Perriman,78,NYJ,2.0,1,5,3,17,0,0,0,0,BUF
92,Isaiah McKenzie,72,BUF,6.0,1,3,3,17,0,0,0,0,NYJ
93,Josh Reynolds,74,LAR,3.0,1,1,1,17,0,0,0,0,DAL
